epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,346.676,1.903,1.66788,0.00614,0.5247,0.50247,0.4865,0.24044,1.97458,1.42321,0.00933,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902
2,641.862,1.34745,0.80823,0.00396,0.59475,0.47475,0.45488,0.22075,1.97828,1.38591,0.00923,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037
3,920.474,1.1194,0.59784,0.00321,0.48479,0.41888,0.43895,0.22133,1.97737,1.39377,0.00925,0.0297891,0.00992972,0.0297891,0.00992972,0.0297891,0.00992972,0.0297891,0.00992972
4,1193.25,0.97884,0.49202,0.00275,0.4416,0.42136,0.41066,0.19952,2.05311,1.37242,0.00954,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1466.35,0.87937,0.4322,0.00245,0.54103,0.48524,0.48293,0.25762,1.96079,1.36477,0.00893,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1739.31,0.81202,0.39066,0.00226,0.52488,0.43702,0.45566,0.25237,2.03687,1.558,0.00938,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2012.15,0.76764,0.36579,0.00212,0.44037,0.46619,0.43639,0.23329,1.96499,1.4669,0.00897,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2285.15,0.73522,0.34533,0.00202,0.43536,0.42523,0.40633,0.20074,1.9855,1.47043,0.00913,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2558.5,0.70311,0.32969,0.00194,0.5855,0.47905,0.47447,0.25909,1.98016,1.63725,0.00918,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2831.78,0.68349,0.31678,0.00187,0.57125,0.44313,0.47042,0.25676,2.05353,1.6278,0.00941,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
