epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,254.101,2.00313,1.77353,0.00653,0.44107,0.39588,0.39504,0.19103,1.98928,1.46595,0.0094,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902
2,472.014,1.54043,0.98659,0.00463,0.60369,0.41436,0.41342,0.20618,1.99895,1.44325,0.00932,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037
3,676.859,1.30645,0.74828,0.00381,0.48952,0.41212,0.4259,0.22117,1.94234,1.45951,0.00899,0.0297891,0.00992972,0.0297891,0.00992972,0.0297891,0.00992972,0.0297891,0.00992972
4,876.548,1.15606,0.61565,0.00329,0.44482,0.38885,0.40459,0.20715,1.96333,1.49186,0.00911,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1075.71,1.04595,0.53902,0.00295,0.46799,0.39243,0.41087,0.21266,1.97052,1.50224,0.00905,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1275.16,0.96972,0.48563,0.00273,0.46104,0.42596,0.41492,0.21428,1.97224,1.51676,0.00914,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1475.6,0.91932,0.45518,0.00256,0.51739,0.36632,0.39518,0.20376,2.00304,1.58542,0.00928,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1674.49,0.87913,0.43,0.00243,0.477,0.41597,0.41543,0.2115,2.02186,1.5189,0.00935,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1872.84,0.84526,0.41165,0.00234,0.52647,0.40087,0.41415,0.21973,1.99248,1.59784,0.00909,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2071.52,0.82103,0.39971,0.00226,0.50141,0.36921,0.41832,0.21009,2.02487,1.56263,0.00928,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2270.15,0.79554,0.3837,0.0022,0.51742,0.41292,0.42882,0.22613,2.02585,1.56673,0.00933,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2468.96,0.77684,0.37404,0.00215,0.47985,0.39887,0.40711,0.20926,2.00665,1.61116,0.00924,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2668.4,0.76239,0.36432,0.00211,0.47683,0.38395,0.3991,0.20779,2.01151,1.72191,0.00926,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2868.69,0.74848,0.35597,0.00206,0.4599,0.39253,0.41678,0.213,2.00643,1.62734,0.00918,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3068.43,0.73815,0.35142,0.00202,0.45081,0.38346,0.38943,0.20154,2.00554,1.66479,0.00914,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3267.53,0.72484,0.34357,0.00197,0.48934,0.35669,0.4011,0.20782,2.01508,1.69863,0.00924,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3466.97,0.71623,0.3362,0.00196,0.46955,0.42001,0.41947,0.21366,1.99835,1.69421,0.00908,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3665.86,0.70636,0.3327,0.00192,0.50616,0.37945,0.41451,0.21579,1.98389,1.7592,0.00909,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3865.89,0.69833,0.32698,0.00191,0.50107,0.42762,0.43434,0.22616,2.00647,1.72583,0.00919,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4065.9,0.68904,0.31986,0.00189,0.48529,0.38898,0.40609,0.203,1.99811,1.76916,0.00914,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4266.29,0.68419,0.31515,0.00186,0.4227,0.37686,0.37395,0.19101,2.00349,1.81532,0.00914,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4466.19,0.67553,0.31291,0.00186,0.45008,0.37747,0.38999,0.20306,1.97873,1.85183,0.00909,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4666.23,0.67439,0.31135,0.00182,0.4632,0.392,0.4101,0.20557,1.99365,1.8378,0.0091,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4865.61,0.66787,0.30688,0.00181,0.44328,0.36456,0.37449,0.18444,2.02186,1.79958,0.00922,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5063.8,0.66007,0.30224,0.00181,0.45709,0.39221,0.40466,0.20713,1.99004,1.80165,0.00917,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,5262.67,0.65694,0.29961,0.00177,0.51238,0.38977,0.39006,0.2078,2.0178,1.79449,0.00926,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5461.06,0.64916,0.29625,0.00177,0.49272,0.3891,0.38564,0.21144,1.99947,1.8164,0.00915,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5659.48,0.64707,0.29539,0.00176,0.4999,0.38499,0.39573,0.20829,1.99517,1.82313,0.0091,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,5859.23,0.64386,0.2938,0.00175,0.48732,0.37744,0.38463,0.20604,2.00543,1.84984,0.00926,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,6057.11,0.63815,0.28985,0.00174,0.47927,0.37983,0.37815,0.20511,2.00277,1.90059,0.00923,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,6256.69,0.63256,0.28469,0.00173,0.52472,0.40263,0.40532,0.22099,2.01026,1.79088,0.00917,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,6455.46,0.63197,0.28504,0.00171,0.53798,0.39576,0.39787,0.21786,2.01715,1.85217,0.00927,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6654.16,0.62957,0.28331,0.00171,0.49133,0.4039,0.40424,0.22131,2.01683,1.80964,0.00929,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6853.32,0.62649,0.28188,0.0017,0.48984,0.3745,0.38071,0.20747,2.02626,1.87348,0.00941,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7051.75,0.62273,0.2815,0.00169,0.50417,0.40066,0.39949,0.21772,2.00715,1.84468,0.00937,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7251.66,0.61953,0.27642,0.00168,0.48924,0.39138,0.39754,0.21203,2.00382,1.80962,0.0093,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7450.89,0.61784,0.27357,0.00167,0.51383,0.3935,0.40086,0.21759,1.98513,1.87978,0.00924,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7649.94,0.61698,0.27471,0.00167,0.54372,0.37989,0.39317,0.21413,2.00023,1.87798,0.00927,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,7850,0.61377,0.27291,0.00166,0.51944,0.39183,0.39206,0.21526,2.01,1.90819,0.0093,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8048.7,0.61156,0.27069,0.00167,0.49136,0.37784,0.38373,0.20135,2.01384,1.80736,0.00937,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8246.95,0.61292,0.27132,0.00165,0.51667,0.38272,0.38179,0.20844,2.00131,1.80869,0.00921,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8445.78,0.60412,0.26651,0.00164,0.52056,0.38709,0.39076,0.2125,1.99446,1.85536,0.0092,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,8643.42,0.60793,0.26856,0.00164,0.50338,0.37557,0.37166,0.20316,2.01013,1.96214,0.00931,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,8841.31,0.60371,0.26679,0.00163,0.50178,0.37572,0.37322,0.20478,2.00475,1.927,0.00923,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9040.05,0.60491,0.26567,0.00164,0.47744,0.36118,0.35089,0.18832,2.00983,1.98451,0.00928,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9238.42,0.60281,0.26543,0.00162,0.5012,0.37345,0.36904,0.20342,2.01399,1.98146,0.0093,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
