epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,596.279,1.55483,1.33005,0.0048,0.54642,0.49451,0.50473,0.27381,1.85846,1.30702,0.00846,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902,0.00998706,0.00332902
2,1127.31,0.96943,0.48043,0.00274,0.56626,0.48256,0.52267,0.29685,1.85752,1.31394,0.00828,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037
3,1634.55,0.86659,0.40253,0.00247,0.50216,0.46338,0.4696,0.25186,1.93551,1.51486,0.00864,0.0297891,0.00992972,0.0297891,0.00992972,0.0297891,0.00992972,0.0297891,0.00992972
4,2133.52,0.79929,0.35867,0.00226,0.4175,0.50643,0.44793,0.2169,1.9248,1.55145,0.0087,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,2632.19,0.717,0.31655,0.00204,0.48126,0.41078,0.38196,0.18688,2.00282,1.92493,0.0092,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,3130.57,0.66913,0.28933,0.0019,0.51988,0.32049,0.38401,0.20567,1.90163,1.56492,0.00878,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,3628.91,0.6368,0.27122,0.00178,0.42445,0.48803,0.44908,0.23091,1.96401,1.54816,0.00893,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,4127.4,0.61269,0.25784,0.00172,0.52243,0.4132,0.44328,0.22991,1.97559,1.60346,0.00923,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,4625.97,0.59485,0.253,0.00167,0.42319,0.40587,0.40668,0.20867,2.02164,1.83461,0.0093,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,5125.05,0.57699,0.2421,0.00161,0.48997,0.43372,0.45326,0.22972,1.97678,1.84553,0.00914,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,5623.66,0.56409,0.23563,0.00159,0.46999,0.42696,0.39322,0.20335,2.02444,1.81929,0.00946,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
