epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.869,1.11743,0.601,0.00394,0.50675,0.5224,0.53439,0.25705,2.10153,1.3108,0.01045,3.33118e-05,3.33118e-05,0.0667216
2,1031.92,0.88915,0.46863,0.0031,0.53958,0.48783,0.4942,0.25017,1.93057,1.39078,0.00881,6.66288e-05,6.66288e-05,0.0334215
3,1534.49,0.79789,0.41845,0.00276,0.57575,0.50231,0.54666,0.30245,1.86773,1.37159,0.00846,9.98808e-05,9.98808e-05,0.000121456
4,2036.44,0.72093,0.37697,0.00249,0.52466,0.53628,0.53013,0.27976,1.91314,1.2749,0.0086,9.97803e-05,9.97803e-05,9.97803e-05
5,2537.44,0.68405,0.35709,0.00236,0.50933,0.53497,0.51595,0.27646,1.82537,1.32381,0.0081,9.96097e-05,9.96097e-05,9.96097e-05
6,3038.86,0.65499,0.33783,0.00229,0.56441,0.51984,0.5138,0.27998,1.86232,1.31846,0.00834,9.93906e-05,9.93906e-05,9.93906e-05
7,3540.09,0.62843,0.32041,0.00216,0.52302,0.51018,0.51347,0.27974,1.84013,1.35974,0.00813,9.91232e-05,9.91232e-05,9.91232e-05
8,4042.15,0.61188,0.30778,0.00212,0.45474,0.44644,0.45761,0.24087,1.84479,1.4295,0.00823,9.88079e-05,9.88079e-05,9.88079e-05
9,4545.07,0.60649,0.30724,0.00211,0.42985,0.48679,0.45287,0.23786,1.86668,1.38733,0.00846,9.84449e-05,9.84449e-05,9.84449e-05
10,5046.91,0.58718,0.29297,0.00205,0.52698,0.46994,0.49202,0.26406,1.85614,1.37173,0.00824,9.80345e-05,9.80345e-05,9.80345e-05
11,5546.84,0.57623,0.28177,0.002,0.58393,0.49804,0.55049,0.3118,1.8447,1.35789,0.00819,9.75773e-05,9.75773e-05,9.75773e-05
12,6048.52,0.56356,0.28172,0.00196,0.51264,0.46663,0.48497,0.25802,1.87951,1.36128,0.0083,9.70736e-05,9.70736e-05,9.70736e-05
13,6549.01,0.55381,0.27158,0.00192,0.5107,0.50168,0.52006,0.28319,1.85409,1.35438,0.00825,9.65239e-05,9.65239e-05,9.65239e-05
14,7049.89,0.54003,0.26282,0.00187,0.49525,0.48497,0.48421,0.2656,1.83585,1.27701,0.0081,9.59289e-05,9.59289e-05,9.59289e-05
15,7550.43,0.53775,0.26287,0.00185,0.60406,0.43209,0.51203,0.28221,1.85784,1.33478,0.00826,9.52889e-05,9.52889e-05,9.52889e-05
16,8052.95,0.53004,0.25913,0.00185,0.49536,0.46187,0.47717,0.24574,1.85823,1.40136,0.00823,9.46048e-05,9.46048e-05,9.46048e-05
17,8555.31,0.52179,0.25434,0.00181,0.55733,0.49024,0.53071,0.28483,1.85391,1.43264,0.00824,9.38772e-05,9.38772e-05,9.38772e-05
18,9058.14,0.51916,0.24933,0.0018,0.50481,0.49153,0.49667,0.26696,1.85674,1.3718,0.00826,9.31067e-05,9.31067e-05,9.31067e-05
19,9560.43,0.51161,0.24794,0.00177,0.51748,0.51537,0.51424,0.27294,1.8271,1.31356,0.00811,9.22942e-05,9.22942e-05,9.22942e-05
20,10061.8,0.5036,0.24167,0.00175,0.54299,0.49331,0.52719,0.28923,1.84557,1.36292,0.00813,9.14405e-05,9.14405e-05,9.14405e-05
21,10563.4,0.50423,0.2417,0.00175,0.54263,0.52469,0.53458,0.28609,1.84159,1.33079,0.00818,9.05463e-05,9.05463e-05,9.05463e-05
22,11065.4,0.49294,0.23676,0.0017,0.50934,0.475,0.49369,0.26035,1.87421,1.37473,0.00831,8.96127e-05,8.96127e-05,8.96127e-05
23,11567.1,0.48817,0.23331,0.0017,0.58006,0.4961,0.5447,0.29477,1.84921,1.43648,0.00816,8.86404e-05,8.86404e-05,8.86404e-05
24,12066.6,0.49044,0.23478,0.0017,0.48507,0.48232,0.49432,0.25204,1.83411,1.42607,0.00808,8.76305e-05,8.76305e-05,8.76305e-05
25,12568.5,0.48124,0.22956,0.00167,0.55461,0.42529,0.48135,0.24893,1.8921,1.43618,0.00838,8.65839e-05,8.65839e-05,8.65839e-05
26,13069.5,0.4768,0.22708,0.00166,0.52482,0.455,0.4918,0.24773,1.85844,1.45888,0.00821,8.55018e-05,8.55018e-05,8.55018e-05
27,13570.1,0.47407,0.22427,0.00165,0.58398,0.50166,0.54608,0.30537,1.82059,1.41039,0.00801,8.43851e-05,8.43851e-05,8.43851e-05
28,14070.5,0.47125,0.22238,0.00163,0.54208,0.48682,0.51866,0.28403,1.83468,1.40184,0.00811,8.32349e-05,8.32349e-05,8.32349e-05
29,14568.7,0.46798,0.21989,0.00162,0.54397,0.45527,0.51901,0.27385,1.8385,1.39832,0.00814,8.20525e-05,8.20525e-05,8.20525e-05
30,15068.8,0.45985,0.21693,0.0016,0.56436,0.48611,0.54474,0.28789,1.85646,1.3813,0.00821,8.08389e-05,8.08389e-05,8.08389e-05
31,15569.3,0.45965,0.21894,0.00159,0.55416,0.49906,0.52785,0.28031,1.81639,1.4199,0.00802,7.95954e-05,7.95954e-05,7.95954e-05
32,16068.6,0.45242,0.21393,0.00156,0.59747,0.49568,0.53892,0.2854,1.83405,1.35892,0.0081,7.83231e-05,7.83231e-05,7.83231e-05
33,16568.6,0.44952,0.2112,0.00155,0.60413,0.50214,0.54463,0.30463,1.82875,1.38917,0.00804,7.70234e-05,7.70234e-05,7.70234e-05
34,17067.7,0.44942,0.2106,0.00155,0.49043,0.46571,0.52352,0.27785,1.8364,1.39305,0.00808,7.56976e-05,7.56976e-05,7.56976e-05
35,17566.8,0.44418,0.20846,0.00154,0.52156,0.50659,0.51812,0.27784,1.8346,1.41473,0.00803,7.43468e-05,7.43468e-05,7.43468e-05
36,18065.3,0.44594,0.20919,0.00153,0.54565,0.52882,0.53207,0.29235,1.84082,1.36915,0.0081,7.29725e-05,7.29725e-05,7.29725e-05
